time	total	confirmed	total	confirmed	new	cases	total	deaths	total	new	deaths	total	cure	total	cure	new	cases	growth	rate	mortality
2020/3/1	1689	561	35	6	83	37	33.21	2.07												
2020/3/2	2036	347	52	17	149	66	17.04	2.55												
2020/3/3	2502	466	80	28	160	11	18.63	3.2												
2020/3/4	3089	587	107	27	276	116	19	3.46												
2020/3/5	3858	769	148	41	414	138	19.93	3.84												
2020/3/6	4636	778	197	49	523	109	16.78	4.25												
2020/3/7	5883	1247	234	37	589	66	21.2	3.98												
2020/3/8	7375	1492	366	132	622	33	20.23	4.96												
2020/3/9	9172	1797	463	97	724	102	19.59	5.05												
2020/3/10	10149	977	631	168	1004	280	9.63	6.22												
2020/3/11	12462	2313	827	196	1045	41	18.56	6.64												
2020/3/12	15113	2651	1016	189	1258	213	17.54	6.72												
2020/3/13	17660	2547	1268	252	1439	181	14.42	7.18												
2020/3/14	21157	3497	1441	173	1966	527	16.53	6.81												
2020/3/15	24747	3590	1809	368	2335	369	14.51	7.31												
2020/3/16	27980	3233	2503	349	2749	414	11.55	8.95												
2020/3/17	31506	3526	2503	345	2941	192	11.19	7.94												
2020/3/18	35713	4207	2978	473	4025	1084	11.78	8.34												
2020/3/19	41035	5322	3407	429	4440	415	12.97	8.3												
2020/3/20	47021	5986	4032	625	5129	689	12.73	8.57												
2020/3/21	53578	6557	4827	795	6072	943	12.24	9.01												
2020/3/22	59138	5560	5476	649	7024	952	9.4	9.26												
2020/3/23	63927	4789	6077	601	7432	408	7.49	9.51												
2020/3/24	69176	5249	6820	743	8326	894	7.59	9.86												
2020/3/25	74386	5210	7505	685	9362	1036	7	10.09												
2020/3/26	80539	6153	8165	660	10361	999	7.64	10.14												
2020/3/27	86498	5959	9136	971	10950	589	6.89	10.56												
2020/3/28	92472	5974	10023	887	12384	1434	6.46	10.84												
2020/3/29	97689	5217	10781	758	13030	646	5.34	11.04												
2020/3/30	101739	4050	11591	810	14620	1590	3.98	11.39												
2020/3/31	105792	4053	12430	839	15729	1109	3.83	11.75												
2020/4/1	110574	4782	13157	727	16847	1118	4.32	11.9												
2020/4/2	115242	4668	13917	760	18278	1431		12.08												
2020/4/3	119827	4585	14681	764	19758	1480		12.25												
2020/4/4	124623	4805	15362	681	20996	1238		12.33												
2020/4/5	128948	4316	15889	527	21815	819		12.32												
2020/4/6	132547	3599	16525	636	22837	1022		12.47												
2020/4/7	135586	3039	17129	604	24392	1555		12.63												
2020/4/8	139422	3836	17669	540	26491	2099		12.67												
2020/4/9	143626	4204	18281	612	28470	1979		12.73												
2020/4/10	147577	3951	18851	570	30455	1985		12.77												
2020/4/11	152271	4694	19470	619	32534	2079		12.79												
2020/4/12	156363	4092	19901	431	34211	1677		12.73												
2020/4/13	159516	3153	20465	564	35435	1224		12.83												
2020/4/14	162488	2972	21067	602	37130	1695		12.97												
2020/4/15	165155	2667	21645	578	38092	962		13.11												
2020/4/16	168941	3786	22170	525	40164	2072		13.12												
2020/4/17	172434	3493	22745	575	42727	2563		13.19												
2020/4/18	175925	3491	23227	482	44927	2200		13.2												
2020/4/19	178942	3047	23660	433	47055	2128		13.22												
2020/4/20	181228	2256	24114	454	48877	1822		13.31												
2020/4/21	183957	2729	24648	534	51600	2723		13.4												
2020/4/22	187327	3370	25085	437	54543	2943		13.39												
2020/4/23	189973	2646	25549	464	57576	3033		13.45												
2020/4/24	192994	3021	25969	420	60498	2922		13.46												
2020/4/25	195351	2357	26384	415	63120	2622		13.51												
2020/4/26	197675	2324	26644	260	64928	1808		13.48												
2020/4/27	199414	1739	26977	333	66624	1696		13.53												
2020/4/28	201505	2091	27359	382	68941	2317		13.58												
2020/4/29	203591	2086	27682	323	71252	2311		13.6												
2020/4/30	205463	1872	27967	285	75945	4693		13.61												
2020/5/1	207428	1965	28236	269	78242	2297		13.61												
2020/5/2	209328	1900	28710	474	79914	1672		13.72												
2020/5/3	210717	1389	28884	174	81654	1740		13.71												
2020/5/4	211938	1221	29079	195	82879	1225		13.72												
2020/5/5																				
